entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.050666666666666665,0.09066666666666666,0.039999999999999994
single-entity,5,0.15133333333333332,0.19866666666666666,0.04733333333333334
single-entity,10,0.16699999999999998,0.2366666666666667,0.06966666666666671
single-entity,20,0.21066666666666667,0.2533333333333333,0.04266666666666663
multi-entity,1,0.10388888888888889,0.06944444444444443,-0.03444444444444446
multi-entity,5,0.21642857142857144,0.13587301587301587,-0.08055555555555557
multi-entity,10,0.30317460317460315,0.22952380952380952,-0.07365079365079363
multi-entity,20,0.3198412698412698,0.31317460317460316,-0.006666666666666654
overall,1,0.07062500000000001,0.08270833333333333,0.012083333333333321
overall,5,0.1757440476190476,0.17511904761904762,-0.0006249999999999867
overall,10,0.2180654761904762,0.23398809523809522,0.01592261904761902
overall,20,0.25160714285714286,0.2757738095238095,0.024166666666666614
