entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.06233333333333333,0.094,0.03166666666666667
single-entity,5,0.16699999999999998,0.17600000000000002,0.009000000000000036
single-entity,10,0.18033333333333332,0.22,0.03966666666666668
single-entity,20,0.205,0.24066666666666667,0.03566666666666668
multi-entity,1,0.09277777777777778,0.058333333333333334,-0.034444444444444444
multi-entity,5,0.23476190476190475,0.15531746031746033,-0.07944444444444443
multi-entity,10,0.27706349206349207,0.1803174603174603,-0.09674603174603177
multi-entity,20,0.30873015873015874,0.28539682539682537,-0.023333333333333373
overall,1,0.07375000000000001,0.080625,0.006874999999999992
overall,5,0.19241071428571427,0.1682440476190476,-0.02416666666666667
overall,10,0.21660714285714286,0.2051190476190476,-0.01148809523809527
overall,20,0.24389880952380955,0.25744047619047616,0.013541666666666619
