entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.06733333333333333,0.08900000000000001,0.02166666666666668
single-entity,5,0.17366666666666666,0.18366666666666667,0.010000000000000009
single-entity,10,0.18533333333333332,0.225,0.03966666666666668
single-entity,20,0.20733333333333334,0.24666666666666667,0.03933333333333333
multi-entity,1,0.09277777777777778,0.058333333333333334,-0.034444444444444444
multi-entity,5,0.20976190476190476,0.1403174603174603,-0.06944444444444445
multi-entity,10,0.2739682539682539,0.22952380952380952,-0.0444444444444444
multi-entity,20,0.30873015873015874,0.26206349206349205,-0.04666666666666669
overall,1,0.076875,0.0775,0.0006250000000000006
overall,5,0.18720238095238095,0.16741071428571427,-0.01979166666666668
overall,10,0.21857142857142856,0.22669642857142858,0.008125000000000021
overall,20,0.24535714285714288,0.2524404761904762,0.00708333333333333
